gender,SeniorCitizen,tenure,InternetService,Contract,MonthlyCharges,TotalCharges,PaymentMethod,Churn
Female,No,2,DSL,Month-to-month,44.6,80.55,Credit card (automatic),Yes
Male,Yes,3,DSL,Month-to-month,41.15,132.2,Electronic check,Yes
Male,No,1,DSL,Month-to-month,24.8,24.8,Bank transfer (automatic),Yes
Male,No,1,Fiber optic,Month-to-month,70.6,70.6,Mailed check,Yes
Male,No,5,Fiber optic,Month-to-month,85.4,401.1,Electronic check,Yes
Male,No,1,Fiber optic,Month-to-month,70.0,70.0,Electronic check,Yes
Male,Yes,8,Fiber optic,Month-to-month,74.5,606.55,Electronic check,Yes
Male,No,10,DSL,Month-to-month,44.85,435.4,Credit card (automatic),Yes
Female,No,1,Fiber optic,Month-to-month,73.6,73.6,Mailed check,Yes
Female,Yes,4,Fiber optic,Month-to-month,95.45,396.1,Electronic check,Yes
Male,No,5,Fiber optic,Month-to-month,80.6,415.55,Electronic check,Yes
Female,Yes,2,Fiber optic,Month-to-month,70.35,139.05,Electronic check,Yes
Female,No,7,Fiber optic,Month-to-month,73.85,511.25,Electronic check,Yes
Female,No,2,Fiber optic,Month-to-month,80.6,155.8,Mailed check,Yes
Female,No,2,Fiber optic,Month-to-month,90.4,168.2,Electronic check,Yes
Male,No,4,Fiber optic,Month-to-month,84.8,371.9,Bank transfer (automatic),Yes
Female,No,10,Fiber optic,Month-to-month,80.25,846.0,Bank transfer (automatic),Yes
Male,No,5,Fiber optic,Month-to-month,96.5,492.55,Bank transfer (automatic),Yes
Male,No,2,Fiber optic,Month-to-month,85.65,181.5,Electronic check,Yes
Male,No,1,DSL,Month-to-month,50.65,50.65,Mailed check,Yes
Male,No,1,Fiber optic,Month-to-month,90.85,90.85,Credit card (automatic),Yes
Male,Yes,11,No,Month-to-month,19.95,214.75,Mailed check,Yes
Female,No,1,No,Month-to-month,19.9,19.9,Mailed check,Yes
Male,No,1,No,Month-to-month,19.6,19.6,Mailed check,Yes
Male,Yes,3,Fiber optic,Month-to-month,81.35,233.7,Electronic check,Yes
Female,Yes,1,Fiber optic,Month-to-month,75.3,75.3,Bank transfer (automatic),Yes
Male,No,12,DSL,Month-to-month,45.4,518.9,Bank transfer (automatic),Yes
Female,No,1,Fiber optic,Month-to-month,69.55,69.55,Mailed check,Yes
Male,No,4,Fiber optic,Month-to-month,101.15,385.9,Electronic check,Yes
Male,No,7,Fiber optic,Month-to-month,99.8,673.25,Electronic check,Yes
Male,No,1,DSL,Month-to-month,55.0,55.0,Electronic check,Yes
Female,No,1,Fiber optic,Month-to-month,74.7,74.7,Electronic check,Yes
Male,No,5,Fiber optic,Month-to-month,96.1,453.4,Electronic check,Yes
Female,No,8,Fiber optic,Month-to-month,83.55,680.05,Electronic check,Yes
Male,No,1,Fiber optic,Month-to-month,74.35,74.35,Electronic check,Yes
Female,No,2,Fiber optic,Month-to-month,74.4,139.4,Electronic check,Yes
Female,Yes,5,DSL,Month-to-month,28.45,131.05,Electronic check,Yes
Female,No,12,Fiber optic,Month-to-month,99.7,1238.45,Bank transfer (automatic),Yes
Male,No,2,Fiber optic,Month-to-month,94.2,167.5,Electronic check,Yes
Female,No,6,Fiber optic,Month-to-month,80.5,502.85,Electronic check,Yes
Female,Yes,5,Fiber optic,Month-to-month,74.35,334.8,Electronic check,Yes
Female,No,1,Fiber optic,Month-to-month,85.0,85.0,Electronic check,Yes
Male,No,10,Fiber optic,Month-to-month,86.05,834.1,Bank transfer (automatic),Yes
Female,No,12,No,Month-to-month,19.0,233.55,Mailed check,Yes
Female,No,1,Fiber optic,Month-to-month,75.3,75.3,Mailed check,Yes
Female,Yes,4,Fiber optic,Month-to-month,89.2,346.2,Electronic check,Yes
Female,Yes,1,Fiber optic,Month-to-month,85.7,85.7,Electronic check,Yes
Female,No,12,DSL,Month-to-month,61.65,713.75,Mailed check,Yes
Male,No,9,DSL,Month-to-month,29.95,248.95,Electronic check,Yes
Female,No,9,DSL,Month-to-month,65.0,663.05,Mailed check,Yes
Female,No,7,No,Month-to-month,20.0,137.6,Bank transfer (automatic),Yes
Male,No,10,Fiber optic,Month-to-month,85.25,855.3,Electronic check,Yes
Male,No,1,Fiber optic,Month-to-month,89.55,89.55,Electronic check,Yes
Male,No,1,DSL,Month-to-month,45.7,45.7,Mailed check,Yes
Female,Yes,2,Fiber optic,Month-to-month,89.5,161.5,Electronic check,Yes
Female,No,3,Fiber optic,Month-to-month,69.55,222.3,Bank transfer (automatic),Yes
Female,No,1,Fiber optic,Month-to-month,74.6,74.6,Mailed check,Yes
Female,Yes,8,No,Month-to-month,19.65,164.3,Electronic check,Yes
Female,No,4,DSL,Month-to-month,24.25,96.05,Mailed check,Yes
Female,No,2,Fiber optic,Month-to-month,69.65,145.15,Electronic check,Yes
Female,No,4,DSL,Month-to-month,45.65,191.05,Mailed check,Yes
Female,No,1,Fiber optic,Month-to-month,75.05,75.05,Mailed check,Yes
Female,No,2,DSL,Month-to-month,34.7,62.25,Electronic check,Yes
Male,No,1,Fiber optic,Month-to-month,80.0,80.0,Electronic check,Yes
Male,Yes,2,DSL,Month-to-month,49.25,91.1,Electronic check,Yes
Female,No,3,Fiber optic,Month-to-month,75.1,270.7,Credit card (automatic),Yes
Male,No,3,DSL,Month-to-month,50.15,168.15,Electronic check,Yes
Male,No,1,No,Month-to-month,19.55,19.55,Mailed check,Yes
Female,No,4,Fiber optic,Month-to-month,85.95,381.3,Electronic check,Yes
Male,No,3,DSL,Month-to-month,45.35,141.5,Electronic check,Yes
Male,No,10,Fiber optic,Month-to-month,98.55,1008.55,Electronic check,Yes
Male,No,3,Fiber optic,Month-to-month,70.3,208.85,Electronic check,Yes
Female,No,1,No,Month-to-month,19.9,19.9,Mailed check,Yes
Female,No,5,Fiber optic,Month-to-month,88.9,454.15,Mailed check,Yes
Male,No,2,Fiber optic,Month-to-month,82.0,184.65,Electronic check,Yes
Male,No,2,DSL,Month-to-month,45.35,89.5,Electronic check,Yes
Female,No,1,DSL,Month-to-month,52.2,52.2,Electronic check,Yes
Female,No,10,Fiber optic,Month-to-month,98.5,1058.25,Electronic check,Yes
Male,No,6,Fiber optic,Month-to-month,85.35,489.45,Electronic check,Yes
Male,No,1,Fiber optic,Month-to-month,69.55,69.55,Electronic check,Yes
Female,No,2,Fiber optic,Month-to-month,86.2,178.7,Mailed check,Yes
Male,Yes,7,Fiber optic,Month-to-month,95.6,644.35,Bank transfer (automatic),Yes
Female,Yes,4,Fiber optic,Month-to-month,78.85,292.8,Electronic check,Yes
Male,No,1,DSL,Month-to-month,44.4,44.4,Mailed check,Yes
Male,No,1,Fiber optic,Month-to-month,89.9,89.9,Electronic check,Yes
Male,No,1,DSL,Month-to-month,50.8,50.8,Electronic check,Yes
Female,No,3,Fiber optic,Month-to-month,95.1,307.4,Electronic check,Yes
Male,No,4,Fiber optic,Month-to-month,80.6,319.15,Mailed check,Yes
Male,No,10,Fiber optic,Month-to-month,110.1,1043.3,Electronic check,Yes
Female,No,6,Fiber optic,Month-to-month,83.9,497.55,Electronic check,Yes
Female,No,1,DSL,Month-to-month,24.6,24.6,Electronic check,Yes
Female,No,12,Fiber optic,Month-to-month,98.9,1120.95,Bank transfer (automatic),Yes
Female,No,9,Fiber optic,Month-to-month,98.3,923.5,Credit card (automatic),Yes
Male,Yes,9,Fiber optic,Month-to-month,100.5,918.6,Electronic check,Yes
Male,Yes,10,Fiber optic,Month-to-month,72.85,688.65,Electronic check,Yes
Male,Yes,1,Fiber optic,Month-to-month,73.55,73.55,Electronic check,Yes
Female,Yes,3,Fiber optic,Month-to-month,79.4,205.05,Electronic check,Yes
Female,Yes,4,Fiber optic,Month-to-month,84.6,360.1,Electronic check,Yes
Female,No,6,Fiber optic,Month-to-month,79.05,434.5,Electronic check,Yes
Female,No,3,Fiber optic,Month-to-month,74.4,215.8,Bank transfer (automatic),Yes
Male,Yes,2,DSL,Month-to-month,44.95,85.15,Mailed check,Yes
Male,No,1,DSL,Month-to-month,44.7,44.7,Credit card (automatic),Yes
Male,No,1,DSL,Month-to-month,45.7,45.7,Mailed check,Yes
Male,Yes,8,Fiber optic,Month-to-month,100.3,832.35,Credit card (automatic),Yes
Male,No,7,No,Month-to-month,19.25,112.3,Electronic check,Yes
Female,No,2,Fiber optic,Month-to-month,96.0,174.8,Electronic check,Yes
Female,No,1,Fiber optic,Month-to-month,90.55,90.55,Electronic check,Yes
Male,No,1,Fiber optic,Month-to-month,69.9,69.9,Electronic check,Yes
Male,No,1,Fiber optic,Month-to-month,86.6,86.6,Electronic check,Yes
Female,Yes,4,Fiber optic,Month-to-month,94.3,424.45,Electronic check,Yes
Female,No,7,Fiber optic,Month-to-month,95.35,660.9,Electronic check,Yes
Female,No,2,Fiber optic,Month-to-month,68.95,119.75,Electronic check,Yes
Male,Yes,8,Fiber optic,Month-to-month,100.6,819.4,Electronic check,Yes
Female,Yes,3,Fiber optic,Month-to-month,88.3,273.75,Mailed check,Yes
Female,Yes,8,Fiber optic,Month-to-month,92.1,729.95,Electronic check,Yes
Female,No,1,No,Month-to-month,19.65,19.65,Mailed check,Yes
Male,Yes,12,DSL,Month-to-month,43.65,526.95,Electronic check,Yes
Female,No,5,DSL,Month-to-month,39.5,210.75,Electronic check,Yes
Female,No,5,Fiber optic,Month-to-month,80.0,412.5,Electronic check,Yes
Female,No,10,Fiber optic,Month-to-month,84.7,832.05,Mailed check,Yes
Male,No,2,Fiber optic,Month-to-month,89.55,185.55,Bank transfer (automatic),Yes
Female,No,2,Fiber optic,Month-to-month,69.75,144.55,Bank transfer (automatic),Yes
Female,No,2,DSL,Month-to-month,49.05,91.1,Credit card (automatic),Yes
Male,No,7,Fiber optic,Month-to-month,98.05,713.0,Bank transfer (automatic),Yes
Male,No,2,Fiber optic,Month-to-month,80.95,171.15,Electronic check,Yes
Female,Yes,11,Fiber optic,Month-to-month,89.7,1047.7,Bank transfer (automatic),Yes
Male,No,3,DSL,Month-to-month,56.15,168.15,Mailed check,Yes
Female,No,4,Fiber optic,Month-to-month,94.4,387.2,Bank transfer (automatic),Yes
Male,No,7,Fiber optic,Month-to-month,74.65,544.55,Mailed check,Yes
Female,Yes,11,Fiber optic,Month-to-month,104.05,1133.65,Bank transfer (automatic),Yes
Male,No,1,DSL,Month-to-month,35.55,35.55,Electronic check,Yes
Female,No,2,Fiber optic,Month-to-month,95.15,196.9,Electronic check,Yes
Female,Yes,3,Fiber optic,Month-to-month,80.4,224.05,Electronic check,Yes
Male,No,1,DSL,Month-to-month,31.35,31.35,Mailed check,Yes
Female,No,12,Fiber optic,Month-to-month,89.75,1052.4,Bank transfer (automatic),Yes
Male,No,1,No,Month-to-month,19.85,19.85,Electronic check,Yes
Female,No,6,Fiber optic,Month-to-month,109.9,669.45,Credit card (automatic),Yes
Female,No,1,DSL,Month-to-month,60.15,60.15,Electronic check,Yes
Male,No,7,Fiber optic,Month-to-month,90.45,593.45,Electronic check,Yes
Male,No,1,Fiber optic,Month-to-month,74.9,74.9,Electronic check,Yes
Female,No,1,Fiber optic,Month-to-month,80.25,80.25,Electronic check,Yes
Female,No,11,DSL,Month-to-month,66.35,740.8,Electronic check,Yes
Female,No,3,Fiber optic,Month-to-month,80.3,250.05,Electronic check,Yes
Female,No,2,Fiber optic,Month-to-month,75.9,143.35,Electronic check,Yes
Male,No,1,DSL,Month-to-month,45.85,45.85,Mailed check,Yes
Male,No,3,Fiber optic,Month-to-month,76.95,228.4,Electronic check,Yes
Male,No,1,DSL,Month-to-month,45.3,45.3,Electronic check,Yes
Female,No,11,Fiber optic,Month-to-month,90.15,987.95,Electronic check,Yes
Male,No,1,DSL,Month-to-month,45.05,45.05,Mailed check,Yes
Female,No,1,Fiber optic,Month-to-month,75.8,75.8,Electronic check,Yes
Female,No,7,Fiber optic,Month-to-month,79.3,523.15,Electronic check,Yes
Female,No,2,DSL,Month-to-month,30.9,59.05,Electronic check,Yes
Male,Yes,7,Fiber optic,Month-to-month,89.5,676.7,Electronic check,Yes
Male,No,8,Fiber optic,Month-to-month,75.0,632.95,Electronic check,Yes
Male,No,6,DSL,Month-to-month,44.75,270.95,Electronic check,Yes
Female,No,11,DSL,Month-to-month,44.05,483.7,Electronic check,Yes
Male,No,1,No,Month-to-month,19.45,19.45,Mailed check,Yes
Female,No,4,No,Month-to-month,20.35,76.35,Mailed check,Yes
Female,Yes,1,Fiber optic,Month-to-month,69.25,69.25,Electronic check,Yes
Female,Yes,1,DSL,Month-to-month,25.2,25.2,Electronic check,Yes
Male,No,2,DSL,Month-to-month,45.0,96.45,Mailed check,Yes
Male,No,1,No,Month-to-month,20.15,20.15,Mailed check,Yes
Male,No,3,DSL,Month-to-month,54.7,169.45,Credit card (automatic),Yes
Male,No,10,Fiber optic,Month-to-month,79.95,857.2,Electronic check,Yes
Female,No,9,Fiber optic,Month-to-month,94.75,889.9,Electronic check,Yes
Male,No,4,Fiber optic,Month-to-month,78.45,330.05,Electronic check,Yes
Male,No,4,Fiber optic,Month-to-month,70.2,237.95,Electronic check,Yes
Male,No,10,Fiber optic,Month-to-month,85.6,813.85,Electronic check,Yes
Female,Yes,1,Fiber optic,Month-to-month,79.2,79.2,Electronic check,Yes
Female,No,1,DSL,Month-to-month,49.95,49.95,Bank transfer (automatic),Yes
Female,Yes,4,Fiber optic,Month-to-month,99.8,442.85,Credit card (automatic),Yes
Female,No,1,Fiber optic,Month-to-month,76.0,76.0,Electronic check,Yes
Female,Yes,2,Fiber optic,Month-to-month,93.85,170.85,Electronic check,Yes
Male,Yes,9,Fiber optic,Month-to-month,84.4,732.5,Credit card (automatic),Yes
Male,No,1,DSL,Month-to-month,50.45,50.45,Electronic check,Yes
Male,No,12,Fiber optic,Month-to-month,99.95,1132.75,Mailed check,Yes
Female,No,2,Fiber optic,Month-to-month,91.4,193.6,Electronic check,Yes
Female,Yes,5,Fiber optic,Month-to-month,75.55,349.65,Credit card (automatic),Yes
Male,No,4,Fiber optic,Month-to-month,80.8,332.45,Credit card (automatic),Yes
Male,No,1,No,Month-to-month,20.55,20.55,Electronic check,Yes
Male,No,5,Fiber optic,Month-to-month,85.3,424.15,Electronic check,Yes
Female,No,4,Fiber optic,Month-to-month,70.4,281.0,Electronic check,Yes
Female,No,2,DSL,Month-to-month,55.05,102.75,Credit card (automatic),Yes
Male,Yes,1,Fiber optic,Month-to-month,74.7,74.7,Electronic check,Yes
Female,Yes,1,DSL,Month-to-month,25.8,25.8,Mailed check,Yes
Female,No,2,DSL,Month-to-month,42.6,72.4,Electronic check,Yes
Male,No,2,Fiber optic,Month-to-month,90.0,190.05,Credit card (automatic),Yes
Male,No,8,Fiber optic,Month-to-month,100.85,819.55,Electronic check,Yes
Female,No,5,Fiber optic,Month-to-month,69.95,330.15,Electronic check,Yes
Male,No,1,DSL,Month-to-month,45.85,45.85,Mailed check,Yes
Female,No,1,Fiber optic,Month-to-month,91.7,91.7,Electronic check,Yes
Male,No,1,Fiber optic,Month-to-month,74.95,74.95,Electronic check,Yes
Male,Yes,10,Fiber optic,Month-to-month,95.35,898.35,Electronic check,Yes
Female,Yes,3,DSL,Month-to-month,45.0,127.1,Electronic check,Yes
Female,No,7,DSL,Month-to-month,59.5,415.95,Mailed check,Yes
Male,Yes,12,Fiber optic,Month-to-month,80.45,950.2,Electronic check,Yes
Male,Yes,2,Fiber optic,Month-to-month,74.7,165.4,Electronic check,Yes
Male,Yes,1,Fiber optic,Month-to-month,88.8,88.8,Electronic check,Yes
Female,No,9,Fiber optic,Month-to-month,75.75,655.9,Bank transfer (automatic),Yes
Male,No,11,Fiber optic,Month-to-month,79.5,868.5,Bank transfer (automatic),Yes
Female,No,1,Fiber optic,Month-to-month,85.8,85.8,Mailed check,Yes
Male,Yes,1,Fiber optic,Month-to-month,79.1,79.1,Electronic check,Yes
Female,No,3,DSL,Month-to-month,44.3,134.5,Mailed check,Yes
Male,No,5,Fiber optic,Month-to-month,69.75,324.6,Electronic check,Yes
Male,Yes,1,DSL,Month-to-month,50.15,50.15,Mailed check,Yes
Female,No,1,DSL,Month-to-month,34.7,34.7,Electronic check,Yes
Male,No,3,Fiber optic,Month-to-month,85.3,264.8,Electronic check,Yes
Male,No,1,Fiber optic,Month-to-month,99.75,99.75,Electronic check,Yes
Male,No,4,DSL,Month-to-month,74.4,299.7,Electronic check,Yes
Female,No,9,Fiber optic,Month-to-month,74.25,639.65,Credit card (automatic),Yes
Male,No,1,DSL,Month-to-month,59.85,59.85,Electronic check,Yes
Female,Yes,1,Fiber optic,Month-to-month,69.6,69.6,Electronic check,Yes
Male,No,9,DSL,Month-to-month,45.4,418.8,Electronic check,Yes
Female,No,1,No,Month-to-month,19.5,19.5,Mailed check,Yes
Male,No,1,Fiber optic,Month-to-month,69.9,69.9,Electronic check,Yes
Female,No,2,Fiber optic,Month-to-month,87.15,183.75,Bank transfer (automatic),Yes
Female,No,3,Fiber optic,Month-to-month,84.75,264.85,Bank transfer (automatic),Yes
Male,No,2,Fiber optic,Month-to-month,79.0,143.65,Electronic check,Yes
Male,No,1,Fiber optic,Month-to-month,71.65,71.65,Electronic check,Yes
Female,No,4,No,Month-to-month,20.35,77.5,Mailed check,Yes
Female,No,12,Fiber optic,Month-to-month,78.1,947.3,Bank transfer (automatic),Yes
Female,No,10,Fiber optic,Month-to-month,98.7,973.25,Electronic check,Yes
Female,No,1,Fiber optic,Month-to-month,76.35,76.35,Electronic check,Yes
Male,Yes,1,DSL,Month-to-month,45.1,45.1,Electronic check,Yes
Male,No,1,No,Month-to-month,20.05,20.05,Bank transfer (automatic),Yes
Male,No,10,DSL,Month-to-month,45.55,402.6,Electronic check,Yes
Female,No,2,DSL,Month-to-month,35.1,68.75,Electronic check,Yes
Male,No,1,DSL,Month-to-month,46.2,46.2,Credit card (automatic),Yes
Female,No,1,DSL,Month-to-month,45.15,45.15,Electronic check,Yes
Male,Yes,1,DSL,Month-to-month,43.3,43.3,Electronic check,Yes
Female,No,1,DSL,Month-to-month,45.95,45.95,Mailed check,Yes
Female,No,3,Fiber optic,Month-to-month,83.75,247.25,Electronic check,Yes
Male,No,1,Fiber optic,Month-to-month,70.05,70.05,Electronic check,Yes
Male,No,2,Fiber optic,Month-to-month,86.0,165.45,Electronic check,Yes
Female,No,1,No,Month-to-month,21.0,21.0,Electronic check,Yes
Female,Yes,1,DSL,Month-to-month,45.1,45.1,Mailed check,Yes
Female,Yes,5,Fiber optic,Month-to-month,78.95,378.4,Electronic check,Yes
Male,No,1,DSL,Month-to-month,50.9,50.9,Mailed check,Yes
Female,No,3,Fiber optic,Month-to-month,79.1,246.5,Electronic check,Yes
Male,No,8,DSL,Month-to-month,25.5,215.2,Mailed check,Yes
Female,No,2,Fiber optic,Month-to-month,80.75,159.45,Electronic check,Yes
Male,No,1,Fiber optic,Month-to-month,75.35,75.35,Electronic check,Yes
Male,No,1,Fiber optic,Month-to-month,75.45,75.45,Electronic check,Yes
Female,No,7,Fiber optic,Month-to-month,81.1,576.65,Electronic check,Yes
Male,No,11,Fiber optic,Month-to-month,74.95,825.7,Electronic check,Yes
Male,Yes,1,Fiber optic,Month-to-month,93.55,93.55,Electronic check,Yes
Female,No,12,DSL,Month-to-month,29.2,309.1,Mailed check,Yes
Female,No,1,DSL,Month-to-month,45.7,45.7,Electronic check,Yes
Female,Yes,1,Fiber optic,Month-to-month,69.95,69.95,Electronic check,Yes
Female,No,2,DSL,Month-to-month,44.6,97.1,Electronic check,Yes
Male,No,5,DSL,Month-to-month,47.15,223.15,Electronic check,Yes
Male,No,2,Fiber optic,Month-to-month,80.2,181.1,Electronic check,Yes
Female,No,4,Fiber optic,Month-to-month,87.1,341.45,Mailed check,Yes
Male,No,5,Fiber optic,Month-to-month,75.9,357.75,Bank transfer (automatic),Yes
Female,No,10,Fiber optic,Month-to-month,86.45,830.85,Electronic check,Yes
Female,No,1,DSL,Month-to-month,45.3,45.3,Mailed check,Yes
Female,Yes,5,Fiber optic,Month-to-month,81.0,371.65,Electronic check,Yes
Male,No,1,No,Month-to-month,20.2,20.2,Mailed check,Yes
Female,No,2,DSL,Month-to-month,49.4,106.55,Electronic check,Yes
Male,No,7,DSL,Month-to-month,48.7,340.25,Electronic check,Yes
Female,No,1,Fiber optic,Month-to-month,95.6,95.6,Electronic check,Yes
Female,No,1,Fiber optic,Month-to-month,71.35,71.35,Electronic check,Yes
Female,No,1,No,Month-to-month,20.15,20.15,Mailed check,Yes
Male,No,1,Fiber optic,Month-to-month,69.75,69.75,Bank transfer (automatic),Yes
Female,No,4,DSL,Month-to-month,33.65,137.85,Electronic check,Yes
Male,No,1,Fiber optic,Month-to-month,79.95,79.95,Electronic check,Yes
Female,No,1,No,Month-to-month,19.3,19.3,Electronic check,Yes
Female,No,8,Fiber optic,Month-to-month,85.2,627.4,Credit card (automatic),Yes
Female,No,3,Fiber optic,Month-to-month,75.25,242.0,Electronic check,Yes
Male,No,1,DSL,Month-to-month,54.35,54.35,Electronic check,Yes
Male,No,5,DSL,Month-to-month,24.95,100.4,Electronic check,Yes
Male,No,1,Fiber optic,Month-to-month,75.3,75.3,Electronic check,Yes
Female,Yes,1,Fiber optic,Month-to-month,70.55,70.55,Electronic check,Yes
Female,No,2,Fiber optic,Month-to-month,80.55,184.1,Electronic check,Yes
Female,No,2,Fiber optic,Month-to-month,75.8,160.75,Electronic check,Yes
Male,Yes,7,Fiber optic,Month-to-month,74.4,527.9,Mailed check,Yes
Female,Yes,2,Fiber optic,Month-to-month,88.55,179.25,Electronic check,Yes
Female,Yes,1,Fiber optic,Month-to-month,91.3,91.3,Electronic check,Yes
Male,No,1,Fiber optic,Month-to-month,79.5,79.5,Electronic check,Yes
Male,Yes,7,Fiber optic,Month-to-month,70.1,467.55,Mailed check,Yes
Female,No,7,Fiber optic,Month-to-month,86.25,587.1,Electronic check,Yes
Female,Yes,1,Fiber optic,Month-to-month,100.8,100.8,Electronic check,Yes
Male,No,10,Fiber optic,Month-to-month,70.0,740.0,Electronic check,Yes
Female,No,1,Fiber optic,Month-to-month,102.45,102.45,Electronic check,Yes
Female,No,3,Fiber optic,Month-to-month,80.1,217.55,Credit card (automatic),Yes
Female,No,2,Fiber optic,Month-to-month,80.2,146.05,Electronic check,Yes
Female,No,6,Fiber optic,Month-to-month,98.15,567.45,Bank transfer (automatic),Yes
Male,No,12,Fiber optic,Month-to-month,112.95,1384.75,Mailed check,Yes
Female,No,1,Fiber optic,Month-to-month,70.9,70.9,Mailed check,Yes
Female,Yes,3,Fiber optic,Month-to-month,86.85,220.95,Electronic check,Yes
Male,No,1,Fiber optic,Month-to-month,74.5,74.5,Electronic check,Yes
Male,No,1,Fiber optic,Month-to-month,71.55,71.55,Mailed check,Yes
Female,No,4,Fiber optic,Month-to-month,85.65,321.65,Electronic check,Yes
Male,No,12,Fiber optic,Month-to-month,106.7,1253.9,Electronic check,Yes
Male,No,1,DSL,Month-to-month,25.15,25.15,Electronic check,Yes
Male,No,2,DSL,Month-to-month,47.8,92.45,Electronic check,Yes
Female,No,1,DSL,Month-to-month,45.95,45.95,Mailed check,Yes
Female,Yes,1,Fiber optic,Month-to-month,70.15,70.15,Electronic check,Yes
Female,No,1,Fiber optic,Month-to-month,85.55,85.55,Credit card (automatic),Yes
Male,No,1,Fiber optic,Month-to-month,88.35,88.35,Electronic check,Yes
Female,No,8,Fiber optic,Month-to-month,94.2,777.3,Electronic check,Yes
Female,No,5,Fiber optic,Month-to-month,96.25,512.45,Electronic check,Yes
Female,No,2,Fiber optic,Month-to-month,70.7,141.45,Electronic check,Yes
Male,No,1,DSL,Month-to-month,35.9,35.9,Electronic check,Yes
Male,Yes,2,DSL,Month-to-month,24.45,47.5,Mailed check,Yes
Female,No,8,Fiber optic,Month-to-month,103.35,847.3,Bank transfer (automatic),Yes
Male,Yes,7,Fiber optic,Month-to-month,84.8,546.95,Electronic check,Yes
Female,No,5,Fiber optic,Month-to-month,89.35,461.7,Electronic check,Yes
Female,No,1,Fiber optic,Month-to-month,77.15,77.15,Electronic check,Yes
Male,No,1,DSL,Month-to-month,35.25,35.25,Bank transfer (automatic),Yes
Male,No,4,DSL,Month-to-month,48.55,201.0,Electronic check,Yes
Male,No,2,Fiber optic,Month-to-month,75.7,189.2,Electronic check,Yes
Male,No,1,Fiber optic,Month-to-month,74.25,74.25,Mailed check,Yes
Male,Yes,1,Fiber optic,Month-to-month,69.5,69.5,Bank transfer (automatic),Yes
